year ,month,week,predictions
2011,1,1,21033.4685
2011,1,2,16535.23624
2011,1,3,10252.33204
2011,1,4,7390.795717
2011,2,5,1669.799568
2011,2,6,1105.81502
2011,2,7,999.031462
2011,2,8,1480.668677
2011,3,9,1842.368997
2011,3,10,1975.459229
2011,3,11,2864.071341
2011,3,12,2170.440567
2011,4,13,2008.051618
2011,4,14,1834.180079
2011,4,15,3982.557598
2011,4,16,1779.654262
2011,5,17,2524.325914
2011,5,18,2905.582286
2011,5,19,4439.424062
2011,5,20,2245.73057
2011,5,21,4246.268295
2011,6,22,5090.032786
2011,6,23,5209.885764
2011,6,24,4750.686764
2011,6,25,5088.504156
2011,7,26,5842.367095
2011,7,27,4551.077003
2011,7,28,7966.605084
2011,7,29,5548.541611
2011,7,30,6320.493584
2011,8,31,4241.530669
2011,8,32,7525.296974
2011,8,33,3083.682491
2011,8,34,4655.291709
2011,9,35,3776.016499
2011,9,36,4236.170875
2011,9,37,4764.460993
2011,9,38,3534.314893
2011,10,39,2974.739405
2011,10,40,4531.226913
2011,10,41,4441.742692
2011,10,42,2285.972582
2011,10,43,4572.309342
2011,11,44,4923.251668
2011,11,45,6638.270427
2011,11,46,3501.463187
2011,11,47,4789.862431
2011,12,48,4634.775724
2011,12,49,4384.940387
2011,12,50,4824.99973
2011,12,51,3823.308804
2011,12,52,4128.492564
2012,1,1,2678.998201
2012,1,2,5186.663523
2012,1,3,1684.9392
2012,1,4,3261.226471
2012,2,5,1745.108195
2012,2,6,4428.194965
2012,2,7,1138.158754
2012,2,8,3545.206722
2012,3,9,6060.919704
2012,3,10,2553.553466
2012,3,11,8836.852925
2012,3,12,4307.183595
2012,4,13,4240.867518
2012,4,14,6191.231339
2012,4,15,5027.117852
2012,4,16,4026.088277
2012,4,17,5897.470145
2012,5,18,5382.480931
2012,5,19,9154.193521
2012,5,20,4835.62334
2012,5,21,6681.600174
2012,6,22,8379.157209
2012,6,23,4357.426624
2012,6,24,10335.09192
2012,6,25,9540.810069
2012,7,26,3651.183311
2012,7,27,10279.32844
2012,7,28,7170.433817
2012,7,29,3345.630684
2012,7,30,6317.007846
2012,8,31,5914.619094
2012,8,32,8837.347788
2012,8,33,7427.632617
2012,8,34,7272.032861
2012,9,35,5359.814327
2012,9,36,7463.33671
2012,9,37,8109.936523
2012,9,38,5234.592974
2012,9,39,7672.03027
2012,10,40,4710.54054
2012,10,41,12633.05104
2012,10,42,5392.541247
2012,10,43,8592.576762
2012,11,44,7697.24507
2012,11,45,8647.469688
2012,11,46,7382.115208
2012,11,47,4168.036416
2012,12,48,4140.05533
2012,12,49,5744.618398
2012,12,50,5709.151557
2012,12,51,3866.313019
2012,12,52,4787.732288
