date,hour,Incident,Line,Direction,Cause,Delay,delay_collapsed
2012-04-01,0, An outbound Orange line train at Landover was delayed 5 minutes due to a report of smoke.,Orange,,a report of smoke,5,5
2012-04-30,8, An inbound Red Line train was delayed 5 minutes at Bethesda due to a door problem.,Red,,a door problem,5,19
2012-04-30,9, An outbound Orange Line train at Ballston was delayed 5 minutes due to a switch problem.,Orange,,a switch problem,5,5
2012-04-30,14," An inbound Orange Line train at Vienna did not operate, resulting in an 8-minute gap in service.",Orange,,did not operate,8,8
2012-04-30,15," An inbound Blue Line train at King Street did not operate, resulting in a 4-minute gap in service.",Blue,,did not operate,4,4
2012-04-30,16, an outbound Blue Line train at Capitol Heights was expressed for schedule adherence/improved train spacing.,Blue,,expressed for schedule adherence/improved train spacing,,4
2012-04-30,17, An outbound Orange Line train at Foggy Bottom was taken out of service due to a brake problem. Customers experienced a 12-minute delay.  An inbound Blue Line train was delayed 7 minutes behind the Orange Line train.,Orange,,a brake problem,7,7
2012-04-30,18, An outbound Red Line train at Tenleytown was taken out of service due to a door problem.  Customers experienced a 3-minute delay.,Red,,a door problem,3,7
2012-05-01,5, A Mt. Vernon Sq-bound Yellow Line train at Crystal City was delayed 5 minutes due to an operational problem.,Yellow,Mt. Vernon Sq,an operational problem,5,14
2012-05-01,7, An inbound Orange Line train at Smithsonian was delayed 5 minutes due to a sick customer.,Orange,,a sick customer,5,11
2012-05-01,8, An outbound Orange Line train at Rosslyn did not operate resulting in a 6-minute gap in service.,Orange,,did not operate,6,6
2012-05-01,13, An inbound Blue Line train at Capitol South was taken out of service due to a brake problem. Customers aboard the train experienced a 33-minute delay.  Extra “gap” trains were placed into service to mitigate delays elsewhere on the line.,Blue,,a brake problem,33,33
2012-05-01,14,  An inbound Orange Line train at Vienna was delayed 6 minutes due to a signal problem. An inbound Blue Line train at Franconia-Springfield was delayed 4 minutes as a result.,Orange,,a signal problem,6,6
2012-05-01,15, An inbound Orange Line train at Vienna did not operate resulting in a 6-minute gap in service.,Orange,,did not operate,6,12
2012-05-01,16, An outbound Yellow Line train at King Street was taken out of service due to a brake problem. Customers experienced a 14 minute delay.,Yellow,,a brake problem,,27
2012-05-01,17, An inbound Blue Line train at Morgan Boulevard was expressed for schedule adherence/improved train spacing.,Blue,,expressed for schedule adherence/improved train spacing,,
2012-05-01,18, An inbound Green Line train at Anacostia was delayed 6 minutes to allow an extra train to move into position for baseball crowd control.,Green,,,6,21
2012-05-01,19, An outbound Green Line train at College Park was expressed for schedule adherence/improved train spacing.,Green,,expressed for schedule adherence/improved train spacing,,
2012-05-01,21, An inbound Red Line train at Rhode Island Ave was delayed 7 minutes due to a switch problem.,Red,,a switch problem,7,7
2012-05-02,6, An outbound Green Line train at Greenbelt was delayed 5 minutes due to a door problem.,Green,,a door problem,5,5
2012-05-02,8, An outbound Orange Line train at L'Enfant Plaza was taken out of service due to a mechanical problem. Customers experienced a 5-minute delay.,Orange,,a mechanical problem,5,8
2012-05-02,9, An outbound Green Line train at Mt. Vernon Sq was delayed 5 minutes due to a mechanical problem.,Green,,a mechanical problem,5,5
2012-05-02,13, An inbound Orange Line train at Landover was taken out of service due to a brake problem. Customers experienced a 24-minute delay.,Orange,,a brake problem,24,24
2012-05-02,14, An outbound Red Line train at Van Ness was taken out of service due to a mechanical problem. Customers experienced a 10-minute delay.,Red,,a mechanical problem,10,14
2012-05-02,15, An inbound Orange Line train at New Carrollton was delayed 6 minutes due to late equipment.,Orange,,late equipment,6,6
2012-05-02,16, An inbound Green Line train at Prince George’s Plaza was taken out of service due to a brake problem. Customers experienced a 6-minute delay.,Green,,a brake problem,6,15
